SiteID,Exp Unit ID,Treatment ID,Crop,Chamber Placement,Start Date,End Date,Number of Observations
INWLACRE,INWLACRE_NP_A73,INWLACRE_NP,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_MT_SA44,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,27
INWLACRE,INWLACRE_MT_SA21,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,74
INWLACRE,INWLACRE_CD_A82,INWLACRE_CD,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,93
INWLACRE,INWLACRE_NM_A31,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-20,2008-04-02,65
INWLACRE,INWLACRE_MT_SA13,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A14,INWLACRE_NC,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_Bare_AB3,INWLACRE_Bare,NA,Across rows,2005-05-16,2011-09-01,139
INWLACRE,INWLACRE_MR_SA41,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,27
INWLACRE,INWLACRE_CD_A71,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_NP_A35,INWLACRE_NP,Glycine max (Soybean),Across rows,2005-03-17,2010-09-15,68
INWLACRE,INWLACRE_NC_A41,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,111
INWLACRE,INWLACRE_IT_A83,INWLACRE_IT,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_NC_A84,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_NP_A81,INWLACRE_NP,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NR_A51,INWLACRE_NR,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_MR_SA12,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A34,INWLACRE_NC,Glycine max (Soybean),Across rows,2005-03-30,2010-09-15,66
INWLACRE,INWLACRE_CD_A52,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_CD_A32,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,133
INWLACRE,INWLACRE_NM_A83,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-06,2007-04-10,35
INWLACRE,INWLACRE_NC_A34,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,111
INWLACRE,INWLACRE_ML_SA43,INWLACRE_ML,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,27
INWLACRE,INWLACRE_NP_A43,INWLACRE_NP,Glycine max (Soybean),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NS_A42,INWLACRE_NS,Glycine max (Soybean),Between rows,2004-04-05,2005-03-07,29
INWLACRE,INWLACRE_IT_A54,INWLACRE_IT,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_NP_A43,INWLACRE_NP,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,131
INWLACRE,INWLACRE_NS_A33,INWLACRE_NS,Zea mays (Corn),Across rows,2005-04-20,2008-04-02,66
INWLACRE,INWLACRE_NC_A53,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_NM_A74,INWLACRE_NM,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_MR_SA23,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_IT_A65,INWLACRE_IT,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_NP_A81,INWLACRE_NP,Zea mays (Corn),Across rows,2005-03-17,2010-09-15,99
INWLACRE,INWLACRE_NM_A31,INWLACRE_NM,Glycine max (Soybean),Across rows,2005-04-06,2007-04-10,26
INWLACRE,INWLACRE_NM_A44,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-20,2008-04-02,65
INWLACRE,INWLACRE_IT_A74,INWLACRE_IT,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_NP_A61,INWLACRE_NP,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NS_A64,INWLACRE_NS,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NP_A61,INWLACRE_NP,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,94
INWLACRE,INWLACRE_NR_A72,INWLACRE_NR,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_NS_A11,INWLACRE_NS,Zea mays (Corn),Across rows,2005-04-20,2008-04-02,67
INWLACRE,INWLACRE_NP_A55,INWLACRE_NP,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NC_A75,INWLACRE_NC,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NP_A55,INWLACRE_NP,Zea mays (Corn),Across rows,2005-03-17,2010-09-15,99
INWLACRE,INWLACRE_MT_SA22,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NM_A83,INWLACRE_NM,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A14,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,111
INWLACRE,INWLACRE_NP_A22,INWLACRE_NP,Glycine max (Soybean),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_MT_SA44,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,75
INWLACRE,INWLACRE_CD_A63,INWLACRE_CD,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,94
INWLACRE,INWLACRE_MT_SA21,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A25,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,111
INWLACRE,INWLACRE_CD_A45,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,132
INWLACRE,INWLACRE_NC_A25,INWLACRE_NC,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NM_A54,INWLACRE_NM,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_CD_A82,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_NG_SA34,INWLACRE_NG,Restored Prairie,Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NG_SA33,INWLACRE_NG,Restored Prairie,Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_CD_A21,INWLACRE_CD,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_MR_SA12,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,73
INWLACRE,INWLACRE_NS_A33,INWLACRE_NS,Glycine max (Soybean),Across rows,2005-03-17,2007-04-10,29
INWLACRE,INWLACRE_NP_A35,INWLACRE_NP,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,133
INWLACRE,INWLACRE_NM_A15,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-20,2008-04-02,65
INWLACRE,INWLACRE_NC_A25,INWLACRE_NC,Glycine max (Soybean),Across rows,2005-04-06,2010-09-15,65
INWLACRE,INWLACRE_NP_A22,INWLACRE_NP,Glycine max (Soybean),Across rows,2005-03-17,2010-09-15,68
INWLACRE,INWLACRE_ML_SA32,INWLACRE_ML,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NG_SA42,INWLACRE_NG,Restored Prairie,Across rows,2005-04-06,2007-12-13,75
INWLACRE,INWLACRE_NM_A23,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-20,2008-04-02,65
INWLACRE,INWLACRE_MR_SA41,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,74
INWLACRE,INWLACRE_NS_A85,INWLACRE_NS,Glycine max (Soybean),Across rows,2005-04-20,2008-04-02,49
INWLACRE,INWLACRE_ML_SA14,INWLACRE_ML,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,75
INWLACRE,INWLACRE_NM_A15,INWLACRE_NM,Glycine max (Soybean),Across rows,2005-04-06,2007-04-10,26
INWLACRE,INWLACRE_CD_A71,INWLACRE_CD,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,94
INWLACRE,INWLACRE_NR_A42,INWLACRE_NR,Zea mays (Corn),Across rows,2009-04-16,2011-09-01,44
INWLACRE,INWLACRE_CD_A63,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_NS_A11,INWLACRE_NS,Glycine max (Soybean),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_ML_SA31,INWLACRE_ML,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_Bare_AB1,INWLACRE_Bare,NA,Across rows,2005-05-16,2011-09-01,139
INWLACRE,INWLACRE_NG_SA34,INWLACRE_NG,Restored Prairie,Across rows,2005-04-06,2007-12-13,75
INWLACRE,INWLACRE_NS_A85,INWLACRE_NS,Zea mays (Corn),Across rows,2005-03-17,2007-04-10,38
INWLACRE,INWLACRE_NP_A12,INWLACRE_NP,Glycine max (Soybean),Across rows,2005-03-17,2010-09-15,68
INWLACRE,INWLACRE_NC_A14,INWLACRE_NC,Glycine max (Soybean),Across rows,2005-04-06,2010-09-15,65
INWLACRE,INWLACRE_MT_SA22,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,73
INWLACRE,INWLACRE_NP_A81,INWLACRE_NP,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,93
INWLACRE,INWLACRE_NS_A24,INWLACRE_NS,Zea mays (Corn),Across rows,2005-04-20,2008-04-02,67
INWLACRE,INWLACRE_NM_A65,INWLACRE_NM,Glycine max (Soybean),Across rows,2005-04-20,2008-04-02,48
INWLACRE,INWLACRE_NS_A51,INWLACRE_NS,Glycine max (Soybean),Across rows,2005-04-20,2008-04-02,50
INWLACRE,INWLACRE_Bare_AB2,INWLACRE_Bare,NA,Across rows,2005-05-16,2011-09-01,137
INWLACRE,INWLACRE_MR_SA24,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,74
INWLACRE,INWLACRE_NP_A55,INWLACRE_NP,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,94
INWLACRE,INWLACRE_CD_A21,INWLACRE_CD,Glycine max (Soybean),Across rows,2005-04-06,2010-09-15,65
INWLACRE,INWLACRE_CD_A21,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,132
INWLACRE,INWLACRE_CD_A13,INWLACRE_CD,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,133
INWLACRE,INWLACRE_NP_A61,INWLACRE_NP,Zea mays (Corn),Across rows,2005-03-17,2010-09-15,99
INWLACRE,INWLACRE_NM_A65,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-06,2007-04-10,35
INWLACRE,INWLACRE_NS_A72,INWLACRE_NS,Zea mays (Corn),Across rows,2005-03-17,2007-04-10,38
INWLACRE,INWLACRE_CD_A45,INWLACRE_CD,Glycine max (Soybean),Across rows,2005-04-06,2010-09-15,65
INWLACRE,INWLACRE_NM_A23,INWLACRE_NM,Glycine max (Soybean),Across rows,2005-04-06,2007-04-10,26
INWLACRE,INWLACRE_MT_SA13,INWLACRE_MT,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,74
INWLACRE,INWLACRE_NS_A72,INWLACRE_NS,Glycine max (Soybean),Across rows,2005-04-20,2008-04-02,50
INWLACRE,INWLACRE_NC_A75,INWLACRE_NC,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,80
INWLACRE,INWLACRE_NP_A73,INWLACRE_NP,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,94
INWLACRE,INWLACRE_NM_A83,INWLACRE_NM,Glycine max (Soybean),Across rows,2005-04-20,2008-04-02,47
INWLACRE,INWLACRE_ML_SA31,INWLACRE_ML,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,75
INWLACRE,INWLACRE_NP_A12,INWLACRE_NP,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,133
INWLACRE,INWLACRE_NC_A34,INWLACRE_NC,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NR_A33,INWLACRE_NR,Glycine max (Soybean),Across rows,2008-04-16,2010-09-15,39
INWLACRE,INWLACRE_NS_A24,INWLACRE_NS,Glycine max (Soybean),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NS_A24,INWLACRE_NS,Glycine max (Soybean),Across rows,2005-03-17,2007-04-10,29
INWLACRE,INWLACRE_NM_A44,INWLACRE_NM,Glycine max (Soybean),Across rows,2005-04-06,2007-04-10,26
INWLACRE,INWLACRE_CD_A32,INWLACRE_CD,Glycine max (Soybean),Across rows,2005-04-06,2010-09-15,65
INWLACRE,INWLACRE_NP_A22,INWLACRE_NP,Zea mays (Corn),Across rows,2005-04-20,2011-09-01,133
INWLACRE,INWLACRE_NM_A74,INWLACRE_NM,Glycine max (Soybean),Across rows,2005-04-20,2008-04-02,48
INWLACRE,INWLACRE_NR_A85,INWLACRE_NR,Glycine max (Soybean),Across rows,2009-04-16,2011-09-01,30
INWLACRE,INWLACRE_NS_A42,INWLACRE_NS,Zea mays (Corn),Across rows,2005-04-20,2008-04-02,67
INWLACRE,INWLACRE_NC_A41,INWLACRE_NC,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NG_SA42,INWLACRE_NG,Restored Prairie,Between rows,2004-04-05,2004-12-16,27
INWLACRE,INWLACRE_CD_A32,INWLACRE_CD,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A41,INWLACRE_NC,Glycine max (Soybean),Across rows,2005-03-30,2010-09-15,66
INWLACRE,INWLACRE_MR_SA23,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,74
INWLACRE,INWLACRE_CD_A52,INWLACRE_CD,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,94
INWLACRE,INWLACRE_NM_A54,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-06,2007-04-10,35
INWLACRE,INWLACRE_CD_A13,INWLACRE_CD,Glycine max (Soybean),Across rows,2005-04-06,2010-09-15,65
INWLACRE,INWLACRE_CD_A13,INWLACRE_CD,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NP_A43,INWLACRE_NP,Glycine max (Soybean),Across rows,2005-03-17,2010-09-15,67
INWLACRE,INWLACRE_NC_A62,INWLACRE_NC,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,80
INWLACRE,INWLACRE_NM_A44,INWLACRE_NM,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NM_A15,INWLACRE_NM,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_CD_A82,INWLACRE_CD,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NG_SA11,INWLACRE_NG,Restored Prairie,Across rows,2005-04-06,2007-12-13,74
INWLACRE,INWLACRE_NS_A51,INWLACRE_NS,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_CD_A63,INWLACRE_CD,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NP_A12,INWLACRE_NP,Glycine max (Soybean),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_IT_A31,INWLACRE_IT,Zea mays (Corn),Across rows,2009-04-16,2011-09-01,44
INWLACRE,INWLACRE_ML_SA43,INWLACRE_ML,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,75
INWLACRE,INWLACRE_CD_A71,INWLACRE_CD,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NM_A31,INWLACRE_NM,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NM_A54,INWLACRE_NM,Glycine max (Soybean),Across rows,2005-04-20,2008-04-02,48
INWLACRE,INWLACRE_NS_A85,INWLACRE_NS,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NP_A73,INWLACRE_NP,Zea mays (Corn),Across rows,2005-03-17,2010-09-15,99
INWLACRE,INWLACRE_NS_A72,INWLACRE_NS,Zea mays (Corn),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NC_A75,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_NC_A62,INWLACRE_NC,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_CD_A45,INWLACRE_CD,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A84,INWLACRE_NC,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,79
INWLACRE,INWLACRE_IT_A23,INWLACRE_IT,Glycine max (Soybean),Across rows,2008-04-16,2010-09-15,39
INWLACRE,INWLACRE_ML_SA14,INWLACRE_ML,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_Bare_AB4,INWLACRE_Bare,NA,Across rows,2005-05-16,2011-09-01,137
INWLACRE,INWLACRE_NS_A11,INWLACRE_NS,Glycine max (Soybean),Across rows,2005-03-17,2007-04-10,29
INWLACRE,INWLACRE_NS_A33,INWLACRE_NS,Glycine max (Soybean),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NS_A42,INWLACRE_NS,Glycine max (Soybean),Across rows,2005-03-17,2007-04-10,29
INWLACRE,INWLACRE_NS_A64,INWLACRE_NS,Glycine max (Soybean),Across rows,2005-04-20,2008-04-02,50
INWLACRE,INWLACRE_NP_A35,INWLACRE_NP,Glycine max (Soybean),Between rows,2004-04-05,2005-03-07,30
INWLACRE,INWLACRE_NM_A65,INWLACRE_NM,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A84,INWLACRE_NC,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_ML_SA32,INWLACRE_ML,Sorghum vulgare sudanense (Sudangrass),Across rows,2005-04-06,2007-12-13,75
INWLACRE,INWLACRE_NR_A24,INWLACRE_NR,Glycine max (Soybean),Across rows,2008-04-16,2010-09-15,39
INWLACRE,INWLACRE_NM_A23,INWLACRE_NM,Glycine max (Soybean),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A53,INWLACRE_NC,Glycine max (Soybean),Across rows,2005-04-20,2011-09-01,80
INWLACRE,INWLACRE_IT_A15,INWLACRE_IT,Zea mays (Corn),Across rows,2009-04-16,2011-09-01,44
INWLACRE,INWLACRE_NR_A64,INWLACRE_NR,Glycine max (Soybean),Across rows,2009-04-16,2011-09-01,30
INWLACRE,INWLACRE_NS_A64,INWLACRE_NS,Zea mays (Corn),Across rows,2005-03-17,2007-04-10,38
INWLACRE,INWLACRE_NC_A53,INWLACRE_NC,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_IT_A54,INWLACRE_IT,Glycine max (Soybean),Across rows,2009-04-16,2011-09-01,30
INWLACRE,INWLACRE_NG_SA11,INWLACRE_NG,Restored Prairie,Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NG_SA33,INWLACRE_NG,Restored Prairie,Across rows,2005-04-06,2007-12-13,75
INWLACRE,INWLACRE_Bare_AB3,INWLACRE_Bare,None,Across rows,2010-05-06,2011-09-01,33
INWLACRE,INWLACRE_MR_SA24,INWLACRE_MR,Sorghum vulgare sudanense (Sudangrass),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_NC_A62,INWLACRE_NC,Zea mays (Corn),Across rows,2005-04-06,2010-09-15,96
INWLACRE,INWLACRE_CD_A52,INWLACRE_CD,Zea mays (Corn),Between rows,2004-04-05,2004-12-16,28
INWLACRE,INWLACRE_IT_A44,INWLACRE_IT,Zea mays (Corn),Across rows,2009-04-16,2011-09-01,44
INWLACRE,INWLACRE_IT_A83,INWLACRE_IT,Glycine max (Soybean),Across rows,2009-04-16,2011-09-01,30
INWLACRE,INWLACRE_NS_A51,INWLACRE_NS,Zea mays (Corn),Across rows,2005-03-17,2007-04-10,38
INWLACRE,INWLACRE_Bare_AB1,INWLACRE_Bare,None,Across rows,2010-05-06,2011-09-01,33
INWLACRE,INWLACRE_NR_A72,INWLACRE_NR,Glycine max (Soybean),Across rows,2009-04-16,2011-09-01,30
INWLACRE,INWLACRE_NR_A51,INWLACRE_NR,Glycine max (Soybean),Across rows,2009-04-16,2011-09-01,30
INWLACRE,INWLACRE_IT_A15,INWLACRE_IT,Glycine max (Soybean),Across rows,2008-04-16,2010-09-15,39
INWLACRE,INWLACRE_Bare_AB4,INWLACRE_Bare,None,Across rows,2010-05-06,2011-09-01,32
INWLACRE,INWLACRE_NR_A24,INWLACRE_NR,Zea mays (Corn),Across rows,2009-04-16,2011-09-01,43
INWLACRE,INWLACRE_NM_A74,INWLACRE_NM,Zea mays (Corn),Across rows,2005-04-06,2007-04-10,35
INWLACRE,INWLACRE_NR_A85,INWLACRE_NR,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_NR_A11,INWLACRE_NR,Zea mays (Corn),Across rows,2009-04-16,2011-09-01,44
INWLACRE,INWLACRE_IT_A74,INWLACRE_IT,Glycine max (Soybean),Across rows,2009-04-16,2011-09-01,30
INWLACRE,INWLACRE_NR_A11,INWLACRE_NR,Glycine max (Soybean),Across rows,2008-04-16,2010-09-15,39
INWLACRE,INWLACRE_NR_A42,INWLACRE_NR,Glycine max (Soybean),Across rows,2008-04-16,2010-09-15,39
INWLACRE,INWLACRE_IT_A31,INWLACRE_IT,Glycine max (Soybean),Across rows,2008-04-16,2010-09-15,39
INWLACRE,INWLACRE_NR_A33,INWLACRE_NR,Zea mays (Corn),Across rows,2009-04-16,2011-09-01,44
INWLACRE,INWLACRE_Bare_AB2,INWLACRE_Bare,None,Across rows,2010-05-06,2011-09-01,33
INWLACRE,INWLACRE_IT_A65,INWLACRE_IT,Glycine max (Soybean),Across rows,2009-04-16,2011-09-01,30
INWLACRE,INWLACRE_IT_A23,INWLACRE_IT,Zea mays (Corn),Across rows,2009-04-16,2011-09-01,44
INWLACRE,INWLACRE_NR_A64,INWLACRE_NR,Zea mays (Corn),Across rows,2008-04-16,2010-09-15,61
INWLACRE,INWLACRE_IT_A44,INWLACRE_IT,Glycine max (Soybean),Across rows,2008-04-16,2010-09-15,39
MNMOFS,MNMOFS_1,MNMOFS_41,Triticum aestivum (Wheat),Between rows,2004-04-07,2008-07-23,16
MNMOFS,MNMOFS_1,MNMOFS_41,Triticum aestivum (Wheat),Across rows,2004-04-07,2008-07-23,16
MNMOFS,MNMOFS_34,MNMOFS_29,Medicago sativa (Alfalfa),Across rows,2004-08-10,2006-04-27,51
MNMOFS,MNMOFS_96,MNMOFS_41,Medicago sativa (Alfalfa),Across rows,2004-08-10,2008-11-17,56
MNMOFS,MNMOFS_34,MNMOFS_29,Medicago sativa (Alfalfa),Between rows,2004-08-10,2006-04-27,50
MNMOFS,MNMOFS_64,MNMOFS_29,Medicago sativa (Alfalfa),Across rows,2004-08-10,2006-04-27,48
MNMOFS,MNMOFS_101,MNMOFS_41,Medicago sativa (Alfalfa),Between rows,2004-08-10,2008-11-17,57
MNMOFS,MNMOFS_156,MNMOFS_46,Zea mays (Corn),Between rows,2008-05-14,2008-11-17,15
MNMOFS,MNMOFS_156,MNMOFS_46,Zea mays (Corn),Across rows,2008-05-14,2008-11-17,15
MNMOFS,MNMOFS_164,MNMOFS_43,Medicago sativa (Alfalfa),Across rows,2004-04-07,2008-11-17,58
MNMOFS,MNMOFS_164,MNMOFS_43,Medicago sativa (Alfalfa),Between rows,2004-04-07,2008-11-17,58
MNMOFS,MNMOFS_1,MNMOFS_41,Medicago sativa (Alfalfa),Between rows,2004-08-10,2008-11-17,60
MNMOFS,MNMOFS_1,MNMOFS_41,Medicago sativa (Alfalfa),Across rows,2004-08-10,2008-11-17,60
MNMOFS,MNMOFS_1,MNMOFS_41,Zea mays (Corn),Across rows,2006-05-02,2007-04-25,30
MNMOFS,MNMOFS_1,MNMOFS_41,Zea mays (Corn),Between rows,2006-05-02,2007-04-25,31
MNMOFS,MNMOFS_1,MNMOFS_41,Glycine max (Soybean),Across rows,2007-05-14,2008-04-16,24
