Year,Treatment,Block,Plot,Species,C_ps,C_r,C_ex,C_total
2004,A4,1,14,Alfalfa,99,272.25,176.9625,548.2125
2004,A4,2,29,Alfalfa,145.35,261.63,170.0595,577.0395000000001
2004,A4,3,32,Alfalfa,99.45,356.031,231.42015,686.90115
2004,A4,4,49,Alfalfa,98.10000000000001,184.428,119.8782,402.4062
2004,T3,1,11,Red clover,426.6,81.054,52.685100000000006,560.3391
2004,T3,2,23,Red clover,422.55,84.51,54.93150000000001,561.9915
2004,T3,3,38,Red clover,462.6,74.016,48.110400000000006,584.7264
2004,T3,4,48,Red clover,472.5,66.15,42.9975,581.6475
2005,A4,1,18,Alfalfa,64.35000000000001,192.40650000000005,125.06422500000004,381.8207250000001
2005,A4,2,28,Alfalfa,67.95,169.875,110.41875,348.24375
2005,A4,3,37,Alfalfa,63.45,121.824,79.18560000000001,264.4596
2005,A4,4,46,Alfalfa,76.5,186.66,121.32900000000001,384.489
2005,T3,1,15,Red clover,374.40000000000003,123.55200000000002,80.30880000000002,578.2608
2005,T3,2,26,Red clover,363.15000000000003,108.94500000000001,70.81425,542.90925
2005,T3,3,26,Red clover,373.05,59.688,38.797200000000004,471.53520000000003
2005,T3,4,47,Red clover,379.8,60.768,39.4992,480.06719999999996
2006,A4,1,12,Alfalfa,126,269.64000000000004,175.26600000000005,570.9060000000001
2006,A4,2,21,Alfalfa,130.95000000000002,280.23300000000006,182.15145000000004,593.3344500000002
2006,A4,3,31,Alfalfa,90.9,194.526,126.44190000000002,411.8679000000001
2006,A4,4,43,Alfalfa,111.15,237.86100000000002,154.60965000000002,503.62065000000007
2006,O3,1,16,Red clover,332.55,56.533500000000004,36.74677500000001,425.83027500000003
2006,O3,2,25,Red clover,319.5,54.315000000000005,35.304750000000006,409.11975
2006,O3,3,33,Red clover,416.7,70.839,46.04535,533.58435
2006,O3,4,42,Red clover,301.5,51.255,33.31575,386.07075
2007,A4,1,17,Alfalfa,81.45,181.6335,118.061775,381.145275
2007,A4,2,22,Alfalfa,76.05,169.5915,110.234475,355.87597500000004
2007,A4,3,39,Alfalfa,80.10000000000001,178.62300000000002,116.10495000000002,374.82795000000004
2007,A4,4,41,Alfalfa,76.95,171.5985,111.53902500000001,360.087525
2007,O3,1,11,Red clover,271.8,97.848,63.6012,433.24920000000003
2007,O3,2,23,Red clover,259.2,93.312,60.6528,413.1648
2007,O3,3,38,Red clover,257.85,92.82600000000001,60.33690000000001,411.01290000000006
2007,O3,4,48,Red clover,281.25,101.25,65.8125,448.3125
2008,A4,1,14,Alfalfa,91.8,236.844,153.9486,482.5926
2008,A4,2,29,Alfalfa,87.75,226.395,147.15675000000002,461.30174999999997
2008,A4,3,32,Alfalfa,84.60000000000001,218.26800000000003,141.87420000000003,444.7422000000001
2008,A4,4,49,Alfalfa,90.45,233.36100000000002,151.68465,475.49565000000007
2008,O3,1,15,Red clover,227.70000000000002,59.202000000000005,38.481300000000005,325.3833000000001
2008,O3,2,26,Red clover,230.4,59.904,38.9376,329.24160000000006
2008,O3,3,36,Red clover,213.3,55.458000000000006,36.047700000000006,304.80570000000006
2008,O3,4,47,Red clover,218.70000000000002,56.86200000000001,36.960300000000004,312.52230000000003
2009,A4,1,18,Alfalfa,24.75,72.5175,47.136375,144.403875
2009,A4,2,28,Alfalfa,28.35,83.06550000000001,53.99257500000001,165.40807500000003
2009,A4,3,37,Alfalfa,31.95,93.6135,60.848775,186.41227500000002
2009,A4,4,46,Alfalfa,35.325,103.50225000000002,67.27646250000001,206.10371250000003
2009,O3,1,16,Red clover,230.175,59.84550000000001,38.899575000000006,328.92007500000005
2009,O3,2,25,Red clover,230.625,59.9625,38.975625,329.56312499999996
2009,O3,3,33,Red clover,202.725,52.7085,34.260525,289.694025
2009,O3,4,42,Red clover,263.475,68.5035,44.527275,376.5057750000001
2010,A4,1,12,Alfalfa,76.05,266.175,173.01375000000002,515.23875
2010,A4,2,21,Alfalfa,70.2,245.70000000000002,159.705,475.605
2010,A4,3,31,Alfalfa,75.15,263.02500000000003,170.96625000000003,509.1412500000001
2010,A4,4,43,Alfalfa,81,283.5,184.275,548.775
2010,O3,1,11,Red clover,251.775,186.3135,121.10377500000001,559.192275
2010,O3,2,23,Red clover,223.875,165.6675,107.683875,497.226375
2010,O3,3,38,Red clover,245.70000000000002,181.818,118.1817,545.6997
2010,O3,4,48,Red clover,229.725,169.9965,110.497725,510.219225
2011,A4,1,17,Alfalfa,52.425000000000004,166.18725,108.0217125,326.63396250000005
2011,A4,2,22,Alfalfa,50.625,160.48125,104.31281249999999,315.4190625
2011,A4,3,39,Alfalfa,45.45,144.0765,93.649725,283.176225
2011,A4,4,41,Alfalfa,71.10000000000001,225.38700000000003,146.50155000000004,442.98855000000003
2011,O3,1,15,Red clover,290.7,194.769,126.59985,612.06885
2011,O3,2,26,Red clover,258.3,173.061,112.48965000000001,543.85065
2011,O3,3,36,Red clover,266.175,178.33725,115.91921250000001,560.4314625
2011,O3,4,47,Red clover,217.8,145.92600000000002,94.85190000000001,458.5779
2012,A4,1,14,Alfalfa,43.875,120.65625,78.4265625,242.9578125
2012,A4,2,29,Alfalfa,42.975,118.18125,76.8178125,237.9740625
2012,A4,3,32,Alfalfa,33.75,92.8125,60.328125,186.890625
2012,A4,4,49,Alfalfa,44.325,121.89375000000001,79.23093750000001,245.4496875
2012,O3,1,16,Red clover,102.825,85.34475,55.4740875,243.64383750000002
2012,O3,2,25,Red clover,117.675,97.67025,63.4856625,278.8309125
2012,O3,3,33,Red clover,101.7,84.411,54.86715,240.97815
2012,O3,4,42,Red clover,172.57500000000002,143.23725000000002,93.10421250000002,408.9164625000001
2013,A4,1,18,Alfalfa,74.925,193.3065,125.649225,393.880725
2013,A4,2,28,Alfalfa,75.825,195.6285,127.15852500000001,398.612025
2013,A4,3,37,Alfalfa,72.22500000000001,186.34050000000002,121.12132500000001,379.68682500000006
2013,A4,4,46,Alfalfa,72.45,186.92100000000002,121.49865000000001,380.86965000000004
2013,O3,1,11,Red clover,134.775,71.43075,46.4299875,252.63573750000003
2013,O3,2,23,Red clover,167.4,88.72200000000001,57.66930000000001,313.79130000000004
2013,O3,3,38,Red clover,186.75,98.9775,64.33537500000001,350.062875
2013,O3,4,48,Red clover,130.725,69.28425,45.0347625,245.0440125
2014,A4,1,12,Alfalfa,29.583,NA,NA,NA
2014,A4,2,21,Alfalfa,32.238,NA,NA,NA
2014,A4,3,31,Alfalfa,50.796,NA,NA,NA
2014,A4,4,43,Alfalfa,39.798,NA,NA,NA
2014,O3,1,15,Red clover,101.8665,NA,NA,NA
2014,O3,2,26,Red clover,79.36200000000001,NA,NA,NA
2014,O3,3,36,Red clover,76.9095,NA,NA,NA
2014,O3,4,47,Red clover,84.2445,NA,NA,NA
2015,A4,1,17,Alfalfa,47.339099999999995,NA,NA,NA
2015,A4,2,22,Alfalfa,65.76299999999999,NA,NA,NA
2015,A4,3,39,Alfalfa,55.9485,NA,NA,NA
2015,A4,4,41,Alfalfa,64.26,NA,NA,NA
2015,O3,1,16,Red clover,189.51749999999998,NA,NA,NA
2015,O3,2,25,Red clover,235.476,NA,NA,NA
2015,O3,3,33,Red clover,194.2245,NA,NA,NA
2015,O3,4,42,Red clover,239.98049999999998,NA,NA,NA
2016,A4,1,14,Alfalfa,77.265,NA,NA,NA
2016,A4,2,29,Alfalfa,66.69,NA,NA,NA
2016,A4,3,32,Alfalfa,63.225,NA,NA,NA
2016,A4,4,49,Alfalfa,73.98,NA,NA,NA
2016,O3,1,11,Red clover,222.03,NA,NA,NA
2016,O3,2,23,Red clover,220.45499999999998,NA,NA,NA
2016,O3,3,38,Red clover,227.655,NA,NA,NA
2016,O3,4,48,Red clover,208.305,NA,NA,NA
2017,A4,1,18,Alfalfa,74.953575,NA,NA,NA
2017,A4,2,28,Alfalfa,63.999900000000004,NA,NA,NA
2017,A4,3,37,Alfalfa,95.3991,NA,NA,NA
2017,A4,4,46,Alfalfa,66.1626,NA,NA,NA
2017,O3,1,15,Red clover,132.60555,NA,NA,NA
2017,O3,2,26,Red clover,165.746925,NA,NA,NA
2017,O3,3,36,Red clover,191.1987,NA,NA,NA
2017,O3,4,47,Red clover,144.46035,NA,NA,NA
2018,A4,1,12,Alfalfa,70.62817500000001,NA,NA,NA
2018,A4,2,21,Alfalfa,69.32655,NA,NA,NA
2018,A4,3,31,Alfalfa,70.54807500000001,NA,NA,NA
2018,A4,4,43,Alfalfa,85.50675,NA,NA,NA
2018,O3,1,16,Red clover,90.1125,NA,NA,NA
2018,O3,2,25,Red clover,80.30025,NA,NA,NA
2018,O3,3,33,Red clover,90.87345,NA,NA,NA
2018,O3,4,42,Red clover,76.43542500000001,NA,NA,NA
2019,A4,1,17,Alfalfa,66.142575,NA,NA,NA
2019,A4,2,22,Alfalfa,68.385375,NA,NA,NA
2019,A4,3,39,Alfalfa,84.26520000000001,NA,NA,NA
2019,A4,4,41,Alfalfa,90.95355,NA,NA,NA
2019,O3,1,11,Red clover,125.817075,NA,NA,NA
2019,O3,2,23,Red clover,126.97852500000002,NA,NA,NA
2019,O3,3,38,Red clover,117.82710000000002,NA,NA,NA
2019,O3,4,48,Red clover,133.96725,NA,NA,NA
2020,A4,1,14,Alfalfa,65.88000000000001,NA,NA,NA
2020,A4,2,29,Alfalfa,84.33,NA,NA,NA
2020,A4,3,32,Alfalfa,74.52,NA,NA,NA
2020,A4,4,49,Alfalfa,68.355,NA,NA,NA
2020,O3,1,15,Red clover,88.65,NA,NA,NA
2020,O3,2,26,Red clover,75.96000000000001,NA,NA,NA
2020,O3,3,36,Red clover,80.145,NA,NA,NA
2020,O3,4,47,Red clover,82.935,NA,NA,NA
